0x1bcf98 stub=0x4ea588 id=0xd712  b'open_log'
0x23de40 stub=0x4ed154 id=0xc9f1  b'Arch=%s|SysVer=%s|ModelB64=%s|ApkNameB64=%s|IsAllowApkList=%d|'
0x23df28 stub=0x4e70d4 id=0xca63  b'CertMD5=%s|CertAuthorB64=%s|'
0x23dfbc stub=0x4ea588 id=0xca92  b'DeviceType=%d|TabletInfo=%s|'
0x23e050 stub=0x4ea34c id=0xc964  b'IsEmu=%d|EmuName=%s|'
0x23e0e4 stub=0x4ebd18 id=0xc97b  b'IsVAP=%d|VAPName=%s|'
0x23e168 stub=0x4e66cc id=0xc992  b'OPC=%08x|'
0x23e244 stub=0x4e7430 id=0xc99e  b'CertHash=%s|DST=%04x|PkgNamesCnt=%d|PkgNames=%s|%s|'
0x23eb60 stub=0x4e6498 id=0x99e8  b'sec_path'
0x23ef74 stub=0x4ed274 id=0x8ef6  b'getFilesDir'
0x23ef80 stub=0x4e71f4 id=0x8f04  b'()Ljava/io/File;'
0x23f01c stub=0x4e8738 id=0x8f17  b'getAbsolutePath'
0x23f1e4 stub=0x4e66cc id=0x908a  b'getApplicationInfo'
0x23f1f0 stub=0x4ea8e4 id=0x9061  b'()Landroid/content/pm/ApplicationInfo;'
0x23f230 stub=0x4e66cc id=0x9602  b'nativeLibraryDir'
0x23f394 stub=0x4e9810 id=0x8e5e  b'getPackageName'
0x23f660 stub=0x4e84fc id=0xd65  b'getPackageManager'
0x23f66c stub=0x4e9b6c id=0xd79  b'()Landroid/content/pm/PackageManager;'
0x23f714 stub=0x4eab20 id=0x8e6f  b'()Ljava/lang/String;'
0x23f7bc stub=0x4e7e44 id=0x909f  b'(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;'
0x23f864 stub=0x4ec198 id=0x90db  b'getApplicationLabel'
0x23f870 stub=0x4e6a20 id=0x90f1  b'(Landroid/content/pm/ApplicationInfo;)Ljava/lang/CharSequence;'
0x23f910 stub=0x4eb418 id=0x97d7  b'toString'
0x23fc0c stub=0x4eb658 id=0x8edd  b'getPackageResourcePath'
0x23fe64 stub=0x4ec4f8 id=0x8e86  b'getPackageInfo'
0x23fe70 stub=0x4e67e8 id=0x8e97  b'(Ljava/lang/String;I)Landroid/content/pm/PackageInfo;'
0x23feb8 stub=0x4ea6a8 id=0x8ecf  b'versionName'
0x240020 stub=0x4ebad8 id=0x964d  b'android/os/Build$VERSION'
0x24002c stub=0x4e7430 id=0x9672  b'RELEASE'
0x240510 stub=0x4e7f64 id=0x967c  b'versionCode'
0x2407c8 stub=0x4e6904 id=0x9668  b'SDK_INT'
0x240954 stub=0x4ebad8 id=0x996d  b'minSdkVersion'
0x240ad0 stub=0x4eccd8 id=0x997d  b'targetSdkVersion'
0x240d3c stub=0x4eb898 id=0x951f  b'java/util/Locale'
0x240d48 stub=0x4ecdf8 id=0x9532  b'getDefault'
0x240d54 stub=0x4e6c5c id=0x953f  b'()Ljava/util/Locale;'
0x240dd8 stub=0x4e66cc id=0x9792  b'getLanguage'
0x240f88 stub=0x4ea22c id=0x99bb  b'getClassLoader'
0x240f94 stub=0x4eb538 id=0x99cc  b'()Ljava/lang/ClassLoader;'
0x241114 stub=0x4eb898 id=0x919b  b'android/os/Environment'
0x241120 stub=0x4e9390 id=0x91de  b'getExternalStorageDirectory'
0x24116c stub=0x4e8f10 id=0x968a  b'getPath'
0x2412f4 stub=0x4eb538 id=0x91fc  b'getExternalFilesDir'
0x241300 stub=0x4ecdf8 id=0x9212  b'(Ljava/lang/String;)Ljava/io/File;'
0x2414f8 stub=0x4e9c8c id=0x9632  b'android/os/Build'
0x241504 stub=0x4e9a50 id=0x9694  b'HARDWARE'
0x24159c stub=0x4eb2f8 id=0x96aa  b'CPU_ABI'
0x2415f0 stub=0x4ebe38 id=0x96b4  b'CPU_ABI2'
0x241e64 stub=0x4e8738 id=0x9237  b'signatures'
0x241e70 stub=0x4e95d0 id=0x9244  b'[Landroid/content/pm/Signature;'
0x241f0c stub=0x4e8f10 id=0x96ee  b'toByteArray'
0x241f18 stub=0x4e9ecc id=0x96fc  b'()[B'
0x241f58 stub=0x4ebbf8 id=0x9266  b'X.509'
0x241f90 stub=0x4ec4f8 id=0x926e  b'java/security/cert/CertificateFactory'
0x241f9c stub=0x4e81a0 id=0x9296  b'getInstance'
0x241fa8 stub=0x4e9150 id=0x92a4  b'(Ljava/lang/String;)Ljava/security/cert/CertificateFactory;'
0x241fec stub=0x4e66cc id=0x92e2  b'java/io/ByteArrayInputStream'
0x241ff8 stub=0x4eaa04 id=0x7aa  b'<init>'
0x242004 stub=0x4e8970 id=0x9301  b'([B)V'
0x242048 stub=0x4e9270 id=0x9309  b'generateCertificate'
0x242054 stub=0x4eab20 id=0x931f  b'(Ljava/io/InputStream;)Ljava/security/cert/Certificate;'
0x242098 stub=0x4ea6a8 id=0x9703  b'getSubjectDN'
0x2420a4 stub=0x4eb778 id=0x9712  b'()Ljava/security/Principal;'
0x242208 stub=0x4eca98 id=0x96bf  b'android/os/Debug'
0x242214 stub=0x4e6fb4 id=0x96d2  b'isDebuggerConnected'
0x242220 stub=0x4e8854 id=0x96e8  b'()Z'
0x242688 stub=0x4e861c id=0x9556  b'/proc/cpuinfo'
0x242694 stub=0x4e79c4 id=0x4023  b'r'
0x2427c0 stub=0x4ea6a8 id=0x856f  b'Unknown'
0x242814 stub=0x4e9810 id=0x9566  b'Processor'
0x24284c stub=0x4ea588 id=0x9572  b'vendor_id'
0x242884 stub=0x4ea6a8 id=0x969f  b'Hardware'
0x2428cc stub=0x4eb2f8 id=0x957e  b'model name'
0x242bb4 stub=0x4e7668 id=0x97a0  b'BRAND'
0x242d10 stub=0x4ed038 id=0x4200  b'vps'
0x242da4 stub=0x4eb0b8 id=0x9838  b'android/content/Context'
0x242db0 stub=0x4ecdf8 id=0x9852  b'CONNECTIVITY_SERVICE'
0x242dfc stub=0x4e7784 id=0x9869  b'getSystemService'
0x242e08 stub=0x4e8cd0 id=0x987c  b'(Ljava/lang/String;)Ljava/lang/Object;'
0x242e4c stub=0x4ebad8 id=0x98a5  b'getAllNetworks'
0x242e58 stub=0x4ecdf8 id=0x98b6  b'()[Landroid/net/Network;'
0x242e98 stub=0x4e7c04 id=0x98d1  b'android/net/NetworkCapabilities'
0x242ea4 stub=0x4ea22c id=0x98f3  b'TRANSPORT_VPN'
0x242f48 stub=0x4eb418 id=0x9903  b'getNetworkCapabilities'
0x242f54 stub=0x4ed038 id=0x991c  b'(Landroid/net/Network;)Landroid/net/NetworkCapabilities;'
0x242f98 stub=0x4ea22c id=0x9957  b'hasTransport'
0x242fa4 stub=0x4eb2f8 id=0x9966  b'(I)Z'
0x2430f8 stub=0x4e95d0 id=0x99b0  b'zip file'
0x243104 stub=0x4ec978 id=0x5d2  b'.apk'
0x243110 stub=0x4e71f4 id=0x9990  b'dalvik.system.PathClassLoader'
0x2436d0 stub=0x4ebf58 id=0xcd01  b'WINDOW_SERVICE'
0x24382c stub=0x4ed274 id=0xcd12  b'getDefaultDisplay'
0x243838 stub=0x4e78a4 id=0xcd26  b'()Landroid/view/Display;'
0x2438d8 stub=0x4e6b40 id=0x358a  b'android/util/DisplayMetrics'
0x24396c stub=0x4e8cd0 id=0x35a8  b'getRealMetrics'
0x243978 stub=0x4e9fec id=0x35b9  b'(Landroid/util/DisplayMetrics;)V'
0x2439d4 stub=0x4e8cd0 id=0x9624  b'widthPixels'
0x243a40 stub=0x4e7c04 id=0x9615  b'heightPixels'
0x243dd0 stub=0x4ec738 id=0x35dc  b'xdpi'
0x243ddc stub=0x4e66cc id=0x35ea  b'F'
0x243e10 stub=0x4ecf18 id=0x35e3  b'ydpi'
0x243ea4 stub=0x4e6498 id=0x91b4  b'getExternalStorageState'
0x243f2c stub=0x4e81a0 id=0x91ce  b'MEDIA_MOUNTED'
0x244504 stub=0x4e7c04 id=0x9359  b'123456'
0x2445a0 stub=0x4e861c id=0x9362  b'11'
0x244638 stub=0x4e6904 id=0x9730  b'getBytes'
0x244788 stub=0x4e8bb0 id=0x9367  b'java/security/MessageDigest'
0x244794 stub=0x4ead58 id=0x9385  b'isEqual'
0x2447a0 stub=0x4eb898 id=0x938f  b'([B[B)Z'
0x244884 stub=0x4ec3d8 id=0x9399  b'SHA1withRSA'
0x244928 stub=0x4ed394 id=0x93a7  b'RSA'
0x2449bc stub=0x4e6a20 id=0x93ad  b'java/security/Signature'
0x2449d4 stub=0x4e8738 id=0x93c7  b'(Ljava/lang/String;)Ljava/security/Signature;'
0x244afc stub=0x4ea10c id=0xd326  b'80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001'
0x244c10 stub=0x4ebd18 id=0x93f7  b'java/math/BigInteger'
0x244c28 stub=0x4e66cc id=0x940e  b'(Ljava/lang/String;I)V'
0x244d88 stub=0x4e82c0 id=0x9427  b'java/security/spec/RSAPublicKeySpec'
0x244da0 stub=0x4ead58 id=0x944d  b'(Ljava/math/BigInteger;Ljava/math/BigInteger;)V'
0x244e48 stub=0x4e754c id=0x947f  b'java/security/KeyFactory'
0x244e60 stub=0x4e9390 id=0x949a  b'(Ljava/lang/String;)Ljava/security/KeyFactory;'
0x244f00 stub=0x4eca98 id=0x94cb  b'generatePublic'
0x244f0c stub=0x4e6d78 id=0x94dc  b'(Ljava/security/spec/KeySpec;)Ljava/security/PublicKey;'
0x244fb0 stub=0x4e754c id=0x973b  b'initVerify'
0x244fbc stub=0x4e83e0 id=0x9748  b'(Ljava/security/PublicKey;)V'
0x245018 stub=0x4ea6a8 id=0x9767  b'update'
0x245024 stub=0x4eb0b8 id=0x9770  b'(B)V'
0x245080 stub=0x4eae78 id=0x9516  b'123098'
0x245134 stub=0x4ec198 id=0x977f  b'verify'
0x245140 stub=0x4eb898 id=0x9777  b'([B)Z'
0x2451ac stub=0x4ecbb8 id=0x9788  b'([BII)Z'
0x2452bc stub=0x4e78a4 id=0xa166  b'android/content/pm/PackageManager'
0x2452c8 stub=0x4ea10c id=0xa18a  b'GET_SIGNATURES'
0x245334 stub=0x4e9930 id=0x9e63  b'android/content/pm/IPackageManager$Stub'
0x245340 stub=0x4eb0b8 id=0x9f40  b'TRANSACTION_getPackageInfo'
0x2453cc stub=0x4ea8e4 id=0x9ed5  b'TRANSACTION_queryIntentActivities'
0x245458 stub=0x4ec858 id=0x9e8d  b'TRANSACTION_getInstalledPackages'
0x2454d8 stub=0x4eb418 id=0xa19b  b'android/os/IServiceManager'
0x2454e4 stub=0x4e6498 id=0xa1b8  b'GET_SERVICE_TRANSACTION'
0x245708 stub=0x4e84fc id=0xbf85  b'acna_bi'
0x245730 stub=0x4e9030 id=0xbf8f  b'sys_ver_bt(\\"11\\")&&sys_ver_lt(\\"19\\")&&brand_contains(\\"oppo\\")'
0x24576c stub=0x4e6b40 id=0xbfd2  b'sys_ver_bt(\\"11\\")&&sys_ver_lt(\\"19\\")&&brand_contains(\\"oneplus\\")'
0x245960 stub=0x4e754c id=0xd57  b'jni_apk_ext'
0x245f40 stub=0x4ea7c8 id=0xe4c  b'applicationInfo'
0x245f4c stub=0x4ebbf8 id=0xe5e  b'Landroid/content/pm/ApplicationInfo;'
0x246130 stub=0x4e6e94 id=0xe19  b'activityInfo'
0x24613c stub=0x4e7f64 id=0xe28  b'Landroid/content/pm/ActivityInfo;'
0x246260 stub=0x4eac3c id=0xfe0  b'force_qia'
0x246370 stub=0x4eb9b8 id=0xfec  b'requestedPermissions'
0x24637c stub=0x4ed394 id=0x1003  b'[Ljava/lang/String;'
0x2463dc stub=0x4e7c04 id=0x1019  b'android.permission.QUERY_ALL_PACKAGES'
0x24661c stub=0x4e6fb4 id=0x10d6  b'mPM'
0x2466b4 stub=0x4e7668 id=0x10dc  b'getClass'
0x2466c0 stub=0x4e82c0 id=0x10e7  b'()Ljava/lang/Class;'
0x246764 stub=0x4e9b6c id=0x10fd  b'getDeclaredField'
0x246770 stub=0x4eb0b8 id=0x1110  b'(Ljava/lang/String;)Ljava/lang/reflect/Field;'
0x246810 stub=0x4e7668 id=0x1140  b'setAccessible'
0x24681c stub=0x4e8854 id=0x1150  b'(Z)V'
0x246878 stub=0x4ebd18 id=0xdfb  b'get'
0x246884 stub=0x4e9030 id=0x1157  b'(Ljava/lang/Object;)Ljava/lang/Object;'
0x246924 stub=0x4ebe38 id=0x1180  b'getAppOpPermissionPackages'
0x246a70 stub=0x4e6e94 id=0x119d  b'java/lang/Class'
0x246bb4 stub=0x4ed154 id=0xb9ed  b'java/lang/String'
0x246cb0 stub=0x4e82c0 id=0x11af  b'getDeclaredMethod'
0x246cbc stub=0x4e9930 id=0x11c3  b'(Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;'
0x246dd8 stub=0x4e7430 id=0x1206  b'android.permission.SYSTEM_ALERT_WINDOW'
0x246e84 stub=0x4ea22c id=0x122f  b'java/lang/Object'
0x247024 stub=0x4eb778 id=0x1242  b'invoke'
0x247030 stub=0x4ec198 id=0x124b  b'(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;'
0x2475b8 stub=0x4ead58 id=0xeb5  b'getInstalledPackages'
0x2475c4 stub=0x4ec738 id=0xecc  b'(I)Ljava/util/List;'
0x247678 stub=0x4eb658 id=0xdf5  b'()I'
0x247740 stub=0x4ec3d8 id=0xe01  b'(I)Ljava/lang/Object;'
0x2479f4 stub=0x4e9030 id=0xe9b  b'sourceDir'
0x247a58 stub=0x4e9dac id=0xea7  b'FLAG_SYSTEM'
0x247ac0 stub=0x4e7784 id=0xe85  b'flags'
0x24800c stub=0x4e84fc id=0xa45  b'android/content/Intent'
0x248018 stub=0x4ec858 id=0xda1  b'ACTION_MAIN'
0x2480b4 stub=0x4e9ecc id=0x994  b'(Ljava/lang/String;)V'
0x2480f8 stub=0x4e67e8 id=0xdaf  b'queryIntentActivities'
0x248104 stub=0x4e82c0 id=0xdc7  b'(Landroid/content/Intent;I)Ljava/util/List;'
0x248b08 stub=0x4ea8e4 id=0x1041  b'getInstallerPackageName'
0x248b14 stub=0x4e78a4 id=0xc4f2  b'(Ljava/lang/String;)Ljava/lang/String;'
0x248d44 stub=0x4ec618 id=0x105b  b'getInstallSourceInfo'
0x248d50 stub=0x4e6fb4 id=0x1072  b'(Ljava/lang/String;)Landroid/content/pm/InstallSourceInfo;'
0x248df0 stub=0x4eb418 id=0x10af  b'getInstallingPackageName'
0x2492e0 stub=0x4ec198 id=0x958b  b'getPublicKey'
0x2492ec stub=0x4ed274 id=0x959a  b'()Ljava/security/PublicKey;'
0x249394 stub=0x4e7f64 id=0x97a8  b'getAlgorithm'
0x2494a4 stub=0x4e83e0 id=0x95b8  b'DSA'
0x2495a4 stub=0x4e9030 id=0x97b7  b'getModulus'
0x2495b0 stub=0x4e8a90 id=0x95be  b'()Ljava/math/BigInteger;'
0x249670 stub=0x4e9ecc id=0x97c4  b'getParams'
0x24967c stub=0x4ea8e4 id=0x95d9  b'()Ljava/security/interfaces/DSAParams;'
0x2496e8 stub=0x4eac3c id=0x97d0  b'getP'
0x249a34 stub=0x4e8a90 id=0x8ba  b'getContentResolver'
0x249a40 stub=0x4ea22c id=0x8cf  b'()Landroid/content/ContentResolver;'
0x249ae0 stub=0x4eccd8 id=0x8f5  b'android/provider/Settings$Secure'
0x249aec stub=0x4e9810 id=0x9a16  b'ANDROID_ID'
0x249ba4 stub=0x4ec078 id=0x97e2  b'getString'
0x249bb0 stub=0x4ecdf8 id=0x97ee  b'(Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;'
0x24a0a4 stub=0x4eb1d8 id=0x9645  b'MODEL'
0x24c5fc stub=0x4ecf18 id=0x9e2f  b'android/os/Parcel'
0x24c608 stub=0x4ea6a8 id=0xa063  b'obtain'
0x24c614 stub=0x4e94b0 id=0xa11b  b'()Landroid/os/Parcel;'
0x24c678 stub=0x4e81a0 id=0x9f16  b'writeToParcel'
0x24c684 stub=0x4e9390 id=0x9f26  b'(Landroid/os/Parcel;I)V'
0x24c6cc stub=0x4e6904 id=0xa0f4  b'marshall'
0x24ca44 stub=0x4ed038 id=0x9fc0  b'android/content/pm/PackageInfo'
0x24ca5c stub=0x4e7d24 id=0x9e4a  b'(Landroid/os/Parcel;)V'
0x24cc38 stub=0x4ebbf8 id=0xa076  b'unmarshall'
0x24cc44 stub=0x4eaf98 id=0xa133  b'([BII)V'
0x24cc7c stub=0x4eca98 id=0xa083  b'setDataPosition'
0x24cc88 stub=0x4ebad8 id=0xa13d  b'(I)V'
0x24cd4c stub=0x4eab20 id=0x9f9f  b'android/content/pm/ResolveInfo'
0x24cd58 stub=0x4e6e94 id=0xa095  b'CREATOR'
0x24cd64 stub=0x4ec2b8 id=0xa144  b'Landroid/os/Parcelable$Creator;'
0x24cda4 stub=0x4e79c4 id=0xa09f  b'createFromParcel'
0x24cdb0 stub=0x4e8f10 id=0xa0b2  b'(Landroid/os/Parcel;)Landroid/content/pm/ResolveInfo;'
0x24d1c0 stub=0x4e9ecc id=0xabb0  b'ten_origin_fd'
0x24d218 stub=0x4eb1d8 id=0x71f1  b'/dev/virtpipe-sec'
0x24eb98 stub=0x4ed038 id=0xa8bc  b'port'
0x24ed04 stub=0x4ed274 id=0xab16  b'tencent_yyb'
0x24ed30 stub=0x4ec738 id=0xab0c  b'tencent'
0x24ed54 stub=0x4e83e0 id=0xab34  b'nox'
0x24ed78 stub=0x4e95d0 id=0xab44  b'bluestacks'
0x24ed8c stub=0x4e71f4 id=0xab24  b'win'
0x24eda0 stub=0x4e78a4 id=0xab2a  b'leidian'
0x24edb4 stub=0x4ea468 id=0xab51  b'google'
0x24edc8 stub=0x4e8a90 id=0xab3a  b'xiaoyao'
0x24eddc stub=0x4eae78 id=0xab5a  b'mac'
0x24f154 stub=0x4eb538 id=0xab60  b'127.0.0.1'
0x24f1c4 stub=0x4ed154 id=0xab79  b'172.16.45.2'
0x24f238 stub=0x4e70d4 id=0xab87  b'10.0.2.2'
0x24f318 stub=0x4ec2b8 id=0xab6c  b'172.16.1.2'
0x24f374 stub=0x4e9150 id=0x68d8  b'127.0.0.1'
0x24f9c4 stub=0x4e6904 id=0xaa54  b'ip route get 8.8.8.8 2>&1'
0x24fa34 stub=0x4e8854 id=0xaa70  b'8.8.8.8 via %s dev'
0x24fc90 stub=0x4e7d24 id=0xab92  b'%d.%d.%d.%d'
0x250600 stub=0x4e8cd0 id=0xaa10  b'func'
0x250664 stub=0x4e9fec id=0xaa85  b'WB_SyncWinIP'
0x2506a4 stub=0x4e8854 id=0x85b8  b'ip'
0x25130c stub=0x4ec978 id=0xe5a6  b'win_fea_sync'
0x2514a8 stub=0x4eb9b8 id=0xe6c4  b'gs3_init'
0x25154c stub=0x4e6a20 id=0xe5b5  b'_w.zip'
0x25161c stub=0x4e7430 id=0xe5be  b'func=feature_rcv_start|name=%s|crc=%d|size=%d'
0x251660 stub=0x4eaa04 id=0xe5ee  b'feature_ptr'
0x2516b8 stub=0x4eb9b8 id=0xe5fc  b'retval=0'
0x25171c stub=0x4ec618 id=0xe607  b'func=feature_rcv_append|feature_ptr=%s|buf=%s'
0x251798 stub=0x4e8bb0 id=0xe637  b'func=feature_rcv_end|feature_ptr=%s|append_suc=%d'
0x251ad0 stub=0x4e8854 id=0xe698  b'func=set_user_info|entry_id=%d|open_id=%s'
0x2524a0 stub=0x4ec618 id=0xe66b  b'func=enable_gs3'
0x252650 stub=0x4e6a20 id=0xe67d  b'func=init_sdk|game_id=%u'
0x252c0c stub=0x4eaf98 id=0xe52b  b'mt2_evt'
0x253180 stub=0x4e9a50 id=0x781c  b'mem_trap2'
0x25324c stub=0x4e8bb0 id=0x622f  b'mt2_ko'
0x253b00 stub=0x4e7310 id=0xc295  b'libc_malloc'
0x253d10 stub=0x4ed274 id=0xc286  b'memtrap_name'
0x253fa0 stub=0x4e8df0 id=0x7811  b'mem_trap'
0x254168 stub=0x4eb778 id=0xd01a  b'mt2_no_r'
0x254198 stub=0x4e84fc id=0xbd2d  b'attunlock4'
0x2548f4 stub=0x4e9fec id=0xb705  b'ts2_timejudge'
0x2555fc stub=0x4eb898 id=0x217f  b'/data/data'
0x255608 stub=0x4eb418 id=0x5187  b'/data/app/'
0x255614 stub=0x4ec2b8 id=0x5194  b'/data/user/0/'
0x25574c stub=0x4e9930 id=0xb7c7  b'ts2_got'
0x255808 stub=0x4eb1d8 id=0x7a25  b'gettimeofday'
0x255818 stub=0x4e94b0 id=0x7a6f  b'clock_gettime'
0x255990 stub=0x4ec738 id=0x7b64  b'ShellCode'
0x255b40 stub=0x4e861c id=0x722e  b'ts2_modules'
0x255c4c stub=0x4e65b0 id=0x641  b'.so'
0x255c58 stub=0x4ecbb8 id=0x5fac  b'.so (deleted)'
0x255e38 stub=0x4ebbf8 id=0xb656  b'ts2_add_mod'
0x255e8c stub=0x4ecbb8 id=0xb664  b'libbasic.so'
0x255ef4 stub=0x4e6b40 id=0xb672  b'libcall.so'
0x255f60 stub=0x4e79c4 id=0xb67f  b'lib3.so'
0x255fc8 stub=0x4e84fc id=0xb689  b'lib6.so'
0x256034 stub=0x4e9030 id=0xb693  b'lib9.so'
0x2560a0 stub=0x4e9b6c id=0xb69d  b'libxxspeedmanager.so'
0x256108 stub=0x4eb538 id=0xb6b4  b'xxplugin_speed.so'
0x256170 stub=0x4ecbb8 id=0xb6c8  b'libgg_time.so'
0x2561d8 stub=0x4e6d78 id=0xb6d8  b'libspeedman.so'
0x256240 stub=0x4e8080 id=0xb6e9  b'libspeedx86.so'
0x2562a8 stub=0x4e9390 id=0xb6fa  b'_lib6.so'
0x256b88 stub=0x4e67e8 id=0xbd13  b'attunlock2'
0x256ba8 stub=0x4eb538 id=0x73e8  b'ts2_com'
0x256c3c stub=0x4e95d0 id=0x73cc  b'ts2_always_start'
0x256d50 stub=0x4ecdf8 id=0x7336  b'ts2_crash'
0x2577fc stub=0x4ec978 id=0x6a9a  b'27042'
0x25784c stub=0x4ed274 id=0x6aa2  b'27043'
0x259140 stub=0x4e9930 id=0x7433  b'strip_ext'
0x259190 stub=0x4e95d0 id=0x6044  b'gp3'
0x259384 stub=0x4ec978 id=0xbd06  b'attunlock1'
0x25949c stub=0x4eb1d8 id=0x7255  b'anti_blackmodule'
0x2594c4 stub=0x4ec738 id=0x7268  b'anti_ida'
0x2594ec stub=0x4e84fc id=0x7291  b'anti_xposed'
0x259514 stub=0x4e71f4 id=0x7280  b'anti_substrate'
0x25953c stub=0x4ea588 id=0x72ae  b'anti_taichi'
0x259564 stub=0x4ed394 id=0x7273  b'anti_frida'
0x25958c stub=0x4ebd18 id=0x7967  b'anti_profiler'
0x2595b4 stub=0x4eae78 id=0xc266  b'anti_lose_jnienv'
0x259f48 stub=0x4eb538 id=0x2a0  b'anti_bm'
0x259f6c stub=0x4e9270 id=0x67ad  b'anti_bm:%s'
0x25b9ac stub=0x4eac3c id=0x6a1c  b'/data/local/tmp/android_server'
0x25b9b8 stub=0x4ed154 id=0x6a3d  b'/data/local/tmp/android_server64'
0x25c5e4 stub=0x4ea10c id=0x6f8a  b'libsandhook.edxp.so'
0x25ed78 stub=0x4e8738 id=0xb5c3  b'force_antiprofiler'
0x25f258 stub=0x4e7310 id=0x4d01  b'NULL'
0x25fa24 stub=0x4eb658 id=0x7191  b'prof_dbg'
0x25fc24 stub=0x4ec2b8 id=0x719c  b'android:debuggable'
0x25fc64 stub=0x4ec618 id=0x188f  b'true'
0x2608b8 stub=0x4ea468 id=0x7c0d  b'msg_box'
0x26100c stub=0x4eb658 id=0xc079  b'cn.mm.gk'
0x261054 stub=0x4ec2b8 id=0xc084  b'anti_inot_failed'
0x261144 stub=0x4e9fec id=0x6241  b'id'
0x26124c stub=0x4ea588 id=0x6246  b'scancode'
0x261344 stub=0x4eb1d8 id=0x6251  b';'
0x261520 stub=0x4e95d0 id=0x6238  b'gp5_%u'
0x261644 stub=0x4eb658 id=0x6255  b'gp5_crash'
0x261c40 stub=0x4eb658 id=0x6575  b'/data/data/%s/files/%s/%s'
0x261c4c stub=0x4e70d4 id=0x3f3  b'ano_tmp'
0x261c58 stub=0x4e67e8 id=0x60e3  b'g3s.dat'
0x261d58 stub=0x4e8df0 id=0x89  b'='
0x261d74 stub=0x4e8bb0 id=0xac03  b'func'
0x261e2c stub=0x4e7f64 id=0x60f8  b'GP3_Getpid'
0x261e78 stub=0x4e8df0 id=0x6105  b'pid=%d'
0x261f50 stub=0x4ea10c id=0x36  b'%d'
0x261fd4 stub=0x4e9810 id=0x610e  b'pid'
0x261fe0 stub=0x4e9ecc id=0x6114  b'func=GP3_Getpid'
0x262200 stub=0x4ec618 id=0x60d3  b'/proc/%d/task'
0x26250c stub=0x4eaf98 id=0x60bf  b'gp3_2022'
0x262518 stub=0x4ea8e4 id=0x6055  b'gp3_traced'
0x26396c stub=0x4e83e0 id=0x628c  b'GP6_'
0x2639c8 stub=0x4eb2f8 id=0x6126  b'GP3_'
0x263efc stub=0x4e82c0 id=0x723  b'TracerPid'
0x263f78 stub=0x4e6e94 id=0x711  b'/proc/%u/status'
0x264200 stub=0x4ebad8 id=0x612d  b'/libmsaoaidsec.so'
0x2642f8 stub=0x4ed154 id=0x6141  b'gp3_incompat'
0x2644bc stub=0x4ebad8 id=0x115  b'gp3_ext'
0x2644dc stub=0x4e7310 id=0x7411  b'gp3_cs'
0x265068 stub=0x4ebf58 id=0x9dbd  b'gp4_pagemap_wb'
0x2656b0 stub=0x4e8738 id=0x40f7  b'intf_no_m'
0x265990 stub=0x4e8df0 id=0x4035  b'gp4_ignore'
0x2659d4 stub=0x4ebe38 id=0x6194  b'dual_app'
0x2663c0 stub=0x4ec078 id=0x732a  b'gp4_crash'
0x26640c stub=0x4e9c8c id=0x4042  b'gp4_vp_ignore'
0x2664b8 stub=0x4e9b6c id=0x9d9d  b'gp4_pagemap_ig'
0x2668bc stub=0x4ea8e4 id=0x425  b'/proc/sys/fs/inotify/max_user_watches'
0x2668f4 stub=0x4e65b0 id=0x44d  b'/proc/sys/fs/inotify/max_queued_events'
0x26692c stub=0x4e9390 id=0x476  b'/proc/sys/fs/inotify/max_user_instances'
0x266aa0 stub=0x4e8bb0 id=0x9d8f  b'gp4_pagemap'
0x266b38 stub=0x4eae78 id=0x9dae  b'gp4_nonblock'
0x266c70 stub=0x4e7d24 id=0x741a  b'gp4_cs'
0x266c90 stub=0x4e7784 id=0x40e9  b'gp4_no_root'
0x266d04 stub=0x4e8df0 id=0x47a1  b'huluxia'
0x266dcc stub=0x4e7310 id=0x307d  b'/proc/%u'
0x266dd8 stub=0x4e7f64 id=0x3088  b'/proc/%u/task/%u'
0x267048 stub=0x4e94b0 id=0x309b  b'mem'
0x267054 stub=0x4ea10c id=0x423a  b'pagemap'
0x2673ac stub=0x4eb538 id=0x61f0  b'mem_trap_no_root'
0x2673f4 stub=0x4e6904 id=0x426c  b'kwrite'
0x2676ac stub=0x4e82c0 id=0x3027  b'/data/data/%s'
0x267744 stub=0x4e71f4 id=0x6150  b'/data/user/'
0x267780 stub=0x4e81a0 id=0x615e  b'/data/user/%d/%s/files'
0x2679c0 stub=0x4e9dac id=0x6177  b'dual_uid_cnt'
0x267aa8 stub=0x4eae78 id=0x6186  b'dual_uid_%d'
0x267f98 stub=0x4ea7c8 id=0x4114  b'dual_app_uid'
0x268004 stub=0x4eb898 id=0x4123  b'dual_uid_not_same'
0x26807c stub=0x4e94b0 id=0x4103  b'dual_app_files'
0x2684a8 stub=0x4eca98 id=0x619f  b'libmonochrome.so'
0x268508 stub=0x4e6fb4 id=0x61b2  b'libwebviewchromium.so'
0x268e58 stub=0x4ec3d8 id=0x6261  b'ace_gp6'
0x268f90 stub=0x4e6c5c id=0x6277  b'result'
